airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,Command_fault,Command
51.56683,-315.994598,-314.801178,3.057528,-0.386228,3.057528,-0.386228,-309.999847,-310,18.39459,23.275448,3.940474,296.566864,93.123566,0.018047,-0.032417,17.571529,0.005462,0.061136,0.063588,0,1,, takeoff
52.165623,-315.977875,-314.784424,3.060775,-0.385077,3.060775,-0.385077,-309.999847,-310,18.408382,23.759001,4.001571,296.551086,93.099144,0.018614,-0.031511,19.825651,0.005518,0.061151,0.064873,0,1,, takeoff
53.003315,-315.95462,-314.761169,3.067574,-0.383473,3.067574,-0.383473,-309.999847,-310,18.428034,24.439524,4.08042,296.533875,93.141037,0.020104,-0.029629,17.286224,0.005501,0.061216,0.065662,0,1,, takeoff
53.577324,-315.93869,-314.745239,3.072237,-0.38252,3.072237,-0.38252,-309.999847,-310,18.441729,24.908499,4.13244,296.524963,93.218376,0.021595,-0.028041,17.282148,0.005478,0.061351,0.066522,0,1,, takeoff
54.461754,-315.914093,-314.720642,3.078846,-0.381365,3.078846,-0.381365,-309.999847,-310,18.463171,25.635109,4.209983,296.515106,93.40947,0.024552,-0.025297,19.695629,0.005465,0.061445,0.066968,0,1,, takeoff
55.011059,-315.898743,-314.705292,3.082991,-0.380642,3.082991,-0.380642,-309.999847,-310,18.476702,26.088932,4.259021,296.510132,93.568863,0.026807,-0.023631,17.396852,0.005448,0.061577,0.067461,0,1,, takeoff
55.870293,-315.874542,-314.681091,3.090344,-0.379507,3.090344,-0.379507,-309.999847,-310,18.498596,26.802464,4.454672,296.502167,93.874489,0.030249,-0.021368,17.638573,0.005438,0.06166,0.067709,0,1,, takeoff
56.466614,-315.857483,-314.664063,3.096157,-0.378649,3.096157,-0.378649,-309.999847,-310,18.514257,27.300207,4.631799,296.495087,94.12278,0.032443,-0.020249,20.259401,0.005422,0.061807,0.068108,0,1,, takeoff
57.299862,-315.832916,-314.639465,3.107786,-0.379625,3.107786,-0.379625,-309.999847,-310,18.539812,28.000017,5.324264,296.481873,94.513046,0.034893,-0.019423,18.764807,0.005409,0.061923,0.068462,0,1,, takeoff
57.870461,-315.815369,-314.621918,3.111664,-0.378599,3.111664,-0.378599,-309.999847,-310,18.55765,28.481831,5.377187,296.469971,94.805161,0.035957,-0.019344,10.800131,0.005423,0.062156,0.069122,0,1,, takeoff
58.722393,-315.788788,-314.595337,3.116498,-0.377011,3.116498,-0.377011,-309.999847,-310,18.584736,29.207428,5.45731,296.448578,95.273102,0.036675,-0.019773,18.991505,0.005409,0.062233,0.069717,0,1,, takeoff
59.313782,-315.770233,-314.576782,3.115939,-0.379655,3.115939,-0.379655,-309.999847,-310,18.6031,29.713285,4.976239,296.43158,95.614204,0.036412,-0.020474,17.817457,0.005386,0.06233,0.070787,0,1,, takeoff
60.14225,-315.744659,-314.551208,3.117843,-0.379916,3.117843,-0.379916,-309.999847,-310,18.62631,30.424128,4.820482,296.407776,96.106323,0.036231,-0.021185,21.052378,0.005424,0.062319,0.071637,0,1,, takeoff
60.709549,-315.727417,-314.533966,3.122023,-0.378966,3.122023,-0.378966,-309.999847,-310,18.64249,30.913292,4.883589,296.392212,96.449234,0.035954,-0.021476,21.249666,0.005427,0.062357,0.072827,0,1,, takeoff
