airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
91.038795,1418.795898,1419.98938,6.798802,4.082457,6.798802,4.082457,1420.000122,1420,1538.056519,80.632179,1002.773987,333.608215,337.057526,0.147376,0.328676,998.776733,-0.019442,0.135992,0.1,0,1
91.032578,1423.675781,1424.869141,6.797973,4.082032,6.797973,4.082032,1420.000122,1420,1543.070068,80.721527,1002.627014,333.608215,337.373993,0.147362,0.328692,998.630676,-0.01944,0.135976,0.1,0,1
91.030708,1426.928711,1428.122192,6.797463,4.081758,6.797463,4.081758,1430.000122,1430,1546.411987,80.781364,1002.52948,333.608215,337.585236,0.147353,0.328703,998.559265,-0.019439,0.135965,0.1,0,1
91.027885,1431.806885,1433.000244,6.796641,4.081349,6.796641,4.081349,1430.000122,1430,1551.424194,80.871506,1002.382751,333.608215,337.902466,0.147339,0.32872,998.425415,-0.019437,0.135949,0.1,0,1
91.027206,1434.918945,1436.112427,6.796157,4.081095,6.796157,4.081095,1430.000122,1430,1554.626099,80.929344,1002.289368,333.608215,338.105286,0.147331,0.328732,998.116516,-0.019436,0.135938,0.1,0,1
91.022682,1439.929565,1441.123047,6.795316,4.080689,6.795316,4.080689,1440.000122,1440,1559.776367,81.022789,1002.138794,333.608215,338.431854,0.147316,0.328751,997.999084,-0.019434,0.135923,0.1,0,1
91.020882,1443.179688,1444.373169,6.794812,4.080433,6.794812,4.080433,1440.000122,1440,1563.116699,81.083656,1002.041138,333.608215,338.643768,0.147307,0.328764,997.955933,-0.019432,0.135912,0.1,0,1
91.018044,1448.05249,1449.245972,6.794005,4.080052,6.794005,4.080052,1450.000122,1450,1568.126465,81.175346,1001.894775,333.608215,338.961792,0.147293,0.328783,997.797241,-0.019431,0.135896,0.1,0,1
91.019127,1451.299805,1452.493286,6.793509,4.079804,6.793509,4.079804,1450.000122,1450,1571.465942,81.236717,1001.797852,333.608215,339.173859,0.147284,0.328797,997.654663,-0.019429,0.135885,0.1,0,1
91.013191,1456.169434,1457.362915,6.792706,4.079434,6.792706,4.079434,1460.000122,1460,1576.474609,81.329147,1001.652161,333.608215,339.491974,0.14727,0.328817,997.466553,-0.019428,0.13587,0.1,0,1
91.011414,1459.416504,1460.609863,6.792211,4.079194,6.792211,4.079194,1460.000122,1460,1579.813232,81.391014,1001.555298,333.608215,339.704071,0.147261,0.328832,997.412659,-0.019426,0.135859,0.1,0,1
91.008736,1464.2854,1465.478882,6.791414,4.078835,6.791414,4.078835,1460.000122,1460,1584.820679,81.484169,1001.409485,333.608215,340.022156,0.147247,0.328853,997.293091,-0.019425,0.135844,0.1,0,1
91.007057,1467.529419,1468.7229,6.790924,4.078601,6.790924,4.078601,1470.000122,1470,1588.158569,81.546516,1001.312744,333.608215,340.234161,0.147238,0.328868,997.131775,-0.019424,0.135833,0.1,0,1
91.004128,1472.395874,1473.589355,6.790132,4.078252,6.790132,4.078252,1470.000122,1470,1593.164795,81.640388,1001.167236,333.608215,340.552094,0.147225,0.32889,997.001038,-0.019422,0.135818,0.1,0,1
91.002335,1475.639282,1476.832764,6.789645,4.078025,6.789645,4.078025,1480.000122,1480,1596.501831,81.703209,1001.070618,333.608215,340.763977,0.147216,0.328906,996.899109,-0.019421,0.135808,0.1,0,1
90.999641,1480.503052,1481.696533,6.788859,4.077686,6.788859,4.077686,1480.000122,1480,1601.506836,81.797783,1000.925232,333.608215,341.081696,0.147202,0.328929,996.7323,-0.019419,0.135793,0.1,0,1
91.000839,1483.742554,1484.935913,6.788376,4.077465,6.788376,4.077465,1480.000122,1480,1604.843018,81.861061,1000.828552,333.608215,341.293427,0.147193,0.328945,996.480347,-0.019418,0.135782,0.1,0,1
90.99472,1488.602295,1489.795776,6.787596,4.077135,6.787596,4.077135,1490.000122,1490,1609.846802,81.956322,1000.683411,333.608215,341.610931,0.14718,0.328968,996.263733,-0.019416,0.135768,0.1,0,1
